Temperature,Humidity,Soil Moisture,pH,N,P,K,Crop
25.0,60.0,400,6.5,50,30,40,Rice
28.0,55.0,350,6.8,40,25,35,Wheat
30.8,47.8,293,6.22,108,41,73,Cotton
25.6,49.6,405,6.7,47,25,54,Groundnut
28.0,93.5,508,6.34,101,46,33,Rice
34.5,61.7,483,6.61,148,31,71,Sugarcane
24.1,63.8,308,6.52,46,36,55,Millet
27.6,53.6,571,6.39,74,38,57,Maize
19.4,68.5,470,7.18,67,41,59,Wheat
28.4,85.5,697,6.63,109,33,65,Rice
28.3,41.4,383,7.25,103,32,62,Cotton
26.8,81.4,660,6.06,104,60,55,Rice
25.4,48.0,237,7.2,67,38,35,Millet
17.7,60.9,486,5.38,69,35,91,Potato
20.6,71.8,324,6.98,76,30,45,Wheat
30.3,71.7,559,6.51,68,44,40,Rice
26.0,49.0,251,5.63,43,40,70,Groundnut
16.8,64.5,479,5.86,70,46,96,Potato
22.6,70.6,688,7.32,121,55,109,Sugarcane
31.2,39.1,265,7.38,36,26,46,Millet
31.4,70.2,546,5.85,108,42,46,Rice
30.9,73.4,582,6.06,120,59,51,Rice
28.0,56.2,266,6.5,93,29,28,Wheat
26.0,58.1,351,5.86,25,46,57,Millet
31.5,54.9,420,6.89,45,45,50,Groundnut
22.9,78.5,585,6.1,77,61,102,Potato
30.0,61.5,370,6.96,62,42,34,Millet
22.0,54.8,504,6.99,31,59,79,Soybean
33.5,73.0,471,5.98,98,33,54,Cotton
19.5,53.6,251,6.72,29,44,67,Chickpea
26.3,62.3,512,6.49,70,44,70,Tomato
31.3,64.4,388,6.28,44,31,62,Groundnut
20.5,42.0,315,7.7,34,31,33,Chickpea
12.4,49.4,412,6.83,55,33,28,Barley
21.8,63.0,494,7.36,67,52,42,Soybean
22.2,79.6,485,5.81,82,31,65,Maize
28.1,74.0,554,6.69,133,33,81,Sugarcane
28.7,90.0,434,6.76,118,33,64,Rice
26.1,46.1,330,5.61,40,34,31,Groundnut
21.7,74.9,569,6.64,96,37,77,Potato
26.7,36.2,360,7.27,26,47,56,Chickpea
24.1,69.0,442,6.35,81,39,83,Potato
23.9,65.3,484,5.79,83,78,80,Potato
22.9,46.8,519,6.33,99,37,37,Wheat
24.3,76.0,590,6.86,72,48,68,Rice
20.5,55.3,320,6.99,69,39,51,Tomato
16.5,61.8,456,7.19,54,22,48,Barley
27.1,56.1,498,6.4,20,53,67,Groundnut
26.5,43.5,433,5.62,59,49,41,Millet
29.5,64.1,371,6.44,35,42,66,Groundnut
33.6,65.5,255,5.87,76,39,77,Cotton
23.5,79.6,428,6.56,64,51,51,Rice
15.2,55.0,376,6.37,67,34,62,Wheat
26.7,45.2,250,7.4,82,44,42,Wheat
17.2,52.2,476,6.93,68,22,39,Wheat
18.5,79.8,454,6.5,74,65,62,Tomato
25.6,56.1,395,6.83,57,33,54,Tomato
18.2,64.4,275,7.09,60,45,62,Barley
21.3,56.6,411,5.68,56,45,100,Tomato
22.9,58.9,487,6.65,27,47,45,Groundnut
26.7,60.3,318,6.08,77,38,31,Maize
14.0,56.6,492,6.74,43,20,46,Barley
20.9,79.7,478,6.28,68,40,42,Soybean
31.0,82.9,481,6.89,106,48,97,Sugarcane
25.9,35.2,383,6.55,52,41,47,Chickpea
22.5,35.9,263,7.38,64,49,25,Barley
24.2,40.3,259,7.91,80,60,48,Cotton
23.7,72.9,405,6.13,69,34,88,Tomato
26.8,64.2,490,6.08,66,66,66,Tomato
25.9,66.9,456,5.59,78,55,74,Tomato
25.9,62.3,365,6.25,108,55,62,Maize
29.6,80.7,396,6.56,60,38,55,Rice
23.0,50.9,382,6.06,86,68,78,Tomato
22.8,63.9,275,7.34,50,21,55,Barley
15.4,60.4,363,5.28,56,52,120,Potato
28.4,85.0,562,6.37,108,58,77,Sugarcane
27.9,79.6,348,7.14,70,57,42,Soybean
31.7,70.8,522,6.47,78,61,35,Maize
29.2,74.2,577,6.03,62,47,64,Rice
31.2,74.5,368,6.33,118,51,39,Rice
26.8,81.0,559,6.15,103,44,90,Sugarcane
19.0,64.1,315,6.27,40,45,61,Wheat
31.9,70.0,515,6.12,63,68,67,Soybean
21.1,52.7,404,7.38,29,62,78,Soybean
30.9,55.4,338,7.0,29,31,76,Soybean
22.9,92.8,580,6.83,119,26,51,Rice
18.4,64.9,402,6.28,73,35,28,Wheat
32.8,63.5,308,7.48,62,26,33,Millet
22.7,46.2,492,6.88,62,42,35,Wheat
25.9,46.5,428,5.62,32,41,66,Groundnut
26.1,53.8,257,5.81,57,59,45,Groundnut
19.5,82.5,503,6.38,65,72,87,Potato
18.6,75.5,480,5.14,75,40,76,Potato
30.2,86.7,648,7.12,126,46,105,Sugarcane
24.1,41.7,270,6.72,57,41,45,Chickpea
28.4,71.3,561,6.0,90,31,68,Rice
18.6,47.8,545,6.19,73,47,55,Wheat
28.3,65.7,553,6.34,37,65,80,Soybean
33.0,69.0,455,7.83,77,33,75,Cotton
25.5,47.6,536,6.33,107,55,42,Maize
19.3,64.8,329,6.06,99,40,63,Wheat
22.6,92.0,390,5.63,91,29,59,Rice
23.7,76.4,582,6.16,98,68,108,Potato
32.9,56.1,474,7.31,65,44,88,Cotton
34.9,50.7,412,6.24,24,33,40,Millet
29.0,76.8,511,6.76,87,53,67,Tomato
25.3,72.0,564,7.12,65,51,50,Maize
18.7,38.7,447,7.15,84,35,61,Barley
22.9,66.1,555,6.86,81,32,98,Sugarcane
24.8,68.5,546,6.2,55,37,96,Tomato
22.6,73.7,550,5.8,95,52,34,Maize
26.9,87.1,732,6.81,121,70,94,Sugarcane
15.8,62.8,409,6.55,109,41,94,Potato
27.0,44.1,211,6.59,48,36,40,Chickpea
15.0,76.7,563,5.78,75,54,58,Potato
24.2,73.1,300,6.33,84,66,75,Tomato
31.4,75.0,653,6.54,100,40,31,Rice
23.2,77.9,657,7.28,98,51,118,Sugarcane
27.5,70.2,452,5.94,110,44,64,Rice
16.9,57.6,363,6.23,83,45,53,Wheat
36.5,66.5,357,7.81,53,41,42,Cotton
24.9,74.2,329,7.25,62,31,69,Cotton
21.3,77.5,502,5.7,58,64,58,Tomato
26.7,47.3,461,6.68,72,47,74,Cotton
30.1,62.3,431,6.05,27,26,49,Groundnut
26.8,65.0,463,6.22,33,42,64,Groundnut
27.4,52.3,251,6.71,26,36,40,Groundnut
26.2,60.4,309,6.66,30,38,64,Chickpea
27.0,77.0,471,6.42,79,67,63,Tomato
26.7,57.2,459,6.16,79,32,37,Wheat
12.2,55.8,321,6.6,73,45,50,Barley
25.2,65.6,484,7.9,75,52,47,Cotton
12.0,66.7,421,6.41,44,37,37,Barley
23.7,38.2,496,6.09,79,53,48,Barley
24.3,72.3,487,5.94,100,59,47,Tomato
30.0,70.2,598,7.18,47,61,73,Soybean
34.3,74.4,412,7.08,72,36,50,Cotton
25.6,59.8,345,5.91,83,45,75,Tomato
27.1,75.3,394,6.66,77,59,69,Tomato
32.0,82.1,501,6.12,65,32,34,Rice
28.6,78.9,560,6.2,106,28,68,Rice
